ESP Indicator Name,Model Name,Unit of Entry,Conversion Factor,Note
Policy|Ban new power plants|Hydro,,,,
Policy|Ban new power plants|Lignite,,,,
Policy|Ban new power plants|Natural gas nonpeaker,,,,
Policy|Ban new power plants|Nuclear,,,,
Policy|Ban new power plants|Petroleum,,,,
Policy|Building component electrification|Commercial,,,,
Policy|Building component electrification|Rural residential,,,,
Policy|Building component electrification|Urban residential,,,,
Policy|Buildings|Building component labeling,,,,
Policy|Building energy efficiency standards|Commercial appliances,,,,
Policy|Building energy efficiency standards|Commercial cooling,,,,
Policy|Building energy efficiency standards|Commercial heating,,,,
Policy|Building energy efficiency standards|Commercial lighting,,,,
Policy|Building energy efficiency standards|Commercial other components,,,,
Policy|Building energy efficiency standards|Rural residential appliances,,,,
Policy|Building energy efficiency standards|Rural residential cooling,,,,
Policy|Building energy efficiency standards|Rural residential heating,,,,
Policy|Building energy efficiency standards|Rural residential lighting,,,,
Policy|Building energy efficiency standards|Rural residential other components,,,,
Policy|Building energy efficiency standards|Urban residential appliances,,,,
Policy|Building energy efficiency standards|Urban residential cooling,,,,
Policy|Building energy efficiency standards|Urban residential heating,,,,
Policy|Building energy efficiency standards|Urban residential lighting,,,,
Policy|Building energy efficiency standards|Urban residential other components,,,,
Policy|Buildings|Building contractor training,,,,
Policy|Carbon price|Electricity sector,,,,
Policy|Carbon price|Industry sector,,,,
Policy|Carbon price|Total,,,,
Policy|Carbon price|Transportation sector,,,,
Policy|Carbon tax|Commercial buildings sector,,,,
Policy|Carbon tax|Electricity sector,,,,
Policy|Carbon tax|Industry sector,,,,
Policy|Carbon tax|Residential buildings sector,,,,
Policy|Carbon tax|Transportation sector,,,,
Policy|Early retirement of power plants|Hard coal,,,,
Policy|Early retirement of power plants|Lignite,,,,
Policy|Early retirement of power plants|Nuclear,,,,
Policy|Early retirement of power plants|Petroleum,,,,
Policy|Electricity|Change electricity exports,,,,
Policy|Electricity|Change electricity imports,,,,
Policy|Electricity|Demand response,,,,
Policy|Electricity|Distributed solar carve-out,,,,
Policy|Electricity|Distributed solar subsidy,,,,
Policy|Electricity|Grid battery electricity storage,,,,
Policy|Electricity|Increase transmission,,,,
Policy|Electricity|Reduce transmission and distribution losses,,,,
Policy|Electricity|Renewable portfolio standard (additional to BAU),,,,
Policy|Emissions|Carbon capture and sequestration,,,,
Policy|Emissions|Methane capture,,,,
Policy|Emissions|Methane destruction,,,,
Policy|Emissions|Reduce F-gases,,,,
Policy|End existing subsidies|Hard coal,,,,
Policy|End existing subsidies|Natural gas,,,,
Policy|End existing subsidies|Nuclear,,,,
Policy|End existing subsidies|Petroleum diesel,,,,
Policy|End existing subsidies|Petroleum gasoline,,,,
Policy|End existing subsidies|Solar,,,,
Policy|EV sales mandate|Freight HDVs,,,,
Policy|EV sales mandate|Passenger LDVs,,,,
Policy|EV subsidy|Passenger LDVs,,,,
Policy|Feebate|LDVs,,,,
Policy|Fuel taxes|Electricity (commercial buildings sector),,,,
Policy|Fuel taxes|Electricity (electricity sector sector),,,,
Policy|Fuel taxes|Electricity (industry sector),,,,
Policy|Fuel taxes|Electricity (residential buildings sector),,,,
Policy|Fuel taxes|Electricity (transportation sector),,,,
Policy|Fuel taxes|Hard coal (commercial buildings sector),,,,
Policy|Fuel taxes|Hard coal (electricity sector sector),,,,
Policy|Fuel taxes|Hard coal (industry sector),,,,
Policy|Fuel taxes|Hard coal (residential buildings sector),,,,
Policy|Fuel taxes|Hard coal (transportation sector),,,,
Policy|Fuel taxes|Lignite (commercial buildings sector),,,,
Policy|Fuel taxes|Lignite (electricity sector sector),,,,
Policy|Fuel taxes|Lignite (industry sector),,,,
Policy|Fuel taxes|Lignite (residential buildings sector),,,,
Policy|Fuel taxes|Lignite (transportation sector),,,,
Policy|Fuel taxes|Natural gas (commercial buildings sector),,,,
Policy|Fuel taxes|Natural gas (electricity sector sector),,,,
Policy|Fuel taxes|Natural gas (industry sector),,,,
Policy|Fuel taxes|Natural gas (residential buildings sector),,,,
Policy|Fuel taxes|Natural gas (transportation sector),,,,
Policy|Fuel taxes|Petroleum diesel (commercial buildings sector),,,,
Policy|Fuel taxes|Petroleum diesel (electricity sector sector),,,,
Policy|Fuel taxes|Petroleum diesel (industry sector),,,,
Policy|Fuel taxes|Petroleum diesel (residential buildings sector),,,,
Policy|Fuel taxes|Petroleum diesel (transportation sector),,,,
Policy|Fuel taxes|Petroleum gasoline (commercial buildings sector),,,,
Policy|Fuel taxes|Petroleum gasoline (electricity sector sector),,,,
Policy|Fuel taxes|Petroleum gasoline (industry sector),,,,
Policy|Fuel taxes|Petroleum gasoline (residential buildings sector),,,,
Policy|Fuel taxes|Petroleum gasoline (transportation sector),,,,
Policy|Fuel Use|District heat hard coal to natural gas switching,,,,
Policy|Increased building retrofitting|Appliances,,,,
Policy|Increased building retrofitting|Cooling,,,,
Policy|Increased building retrofitting|Heating,,,,
Policy|Increased building retrofitting|Lighting,,,,
Policy|Increased building retrofitting|Other,,,,
Policy|Industrial energy efficiency standards|Agriculture industry,,,,
Policy|Industrial energy efficiency standards|Cement industry,,,,
Policy|Industrial energy efficiency standards|Chemicals industry,,,,
Policy|Industrial energy efficiency standards|Iron and steel industry,,,,
Policy|Industrial energy efficiency standards|Mining industry,,,,
Policy|Industrial energy efficiency standards|Natural gas and petroleum industry,,,,
Policy|Industrial energy efficiency standards|Other industries,,,,
Policy|Industrial energy efficiency standards|Waste management industry,,,,
Policy|Industry|Cement clinker substitution,,,,
Policy|Industry|Cogeneration and waste heat recovery,,,,
Policy|Industry|Convert non-CHP district heat to CHP,,,,
Policy|Industry|Early retirement of industrial facilities,,,,
Policy|Industry|Improved industrial facility design,,,,
Policy|Industry|Industrial hard coal to natural gas switching,,,,
Policy|Industry|Industrial natural gas to electricity switching,,,,
Policy|Industry|Livestock measures,,,,
Policy|Industry|Worker training,,,,
Policy|Plant lifetime extension|Nuclear,,,,
Policy|Rebate for efficient building components|Appliances (urban residential),,,,
Policy|Rebate for efficient building components|Cooling (urban residential),,,,
Policy|Rebate for efficient building components|Heating (urban residential),,,,
Policy|Reduce plant downtime|Natural gas nonpeaker (preexisting),,,,
Policy|Reduce plant downtime|Offshore wind (new),,,,
Policy|Reduce plant downtime|Onshore wind (new),,,,
Policy|Reduce plant downtime|Solar PV (new),,,,
Policy|Subsidy for electricity production|Biomass,,,,
Policy|Subsidy for electricity production|Nuclear,,,,
Policy|Subsidy for electricity production|Offshore wind,,,,
Policy|Subsidy for electricity production|Onshore wind,,,,
Policy|Subsidy for electricity production|Solar PV,,,,
Policy|Subsidy for electricity production|Solar thermal,,,,
Policy|TDM package|Freight,,,,
Policy|TDM package|Passenger,,,,
Policy|Transportation|EV perks,,,,
Policy|Transportation|Low Carbon Fuel Standard (additional to BAU),,,,
Policy|Vehicle fuel economy standards|Aircraft,,,,
Policy|Vehicle fuel economy standards|Diesel engine HDVs,,,,
Policy|Vehicle fuel economy standards|Gasoline engine LDVs,,,,
Policy|Vehicle fuel economy standards|Gasoline engine motorbikes,,,,
Policy|Vehicle fuel economy standards|Rail,,,,
Policy|Vehicle fuel economy standards|Ships,,,,
Population and Economy|Economy|GDP MER,,,,
Population and Economy|Economy|GDP PPP,,,,
Population and Economy|Economy|Net Trade Balance,,,,
Population and Economy|Population|Aged 16 and over,,,,
Population and Economy|Population|Aged 65 and over,,,,
Population and Economy|Population|Total,,,,
Transportation|Cargo distance transported|Freight aircraft,,,,
Transportation|Cargo distance transported|Freight HDVs,,,,
Transportation|Cargo distance transported|Freight LDVs,,,,
Transportation|Cargo distance transported|Freight motorbikes,,,,
Transportation|Cargo distance transported|Freight rail,,,,
Transportation|Cargo distance transported|Freight ships,,,,
Transportation|Cargo distance transported|Passenger aircraft,,,,
Transportation|Cargo distance transported|Passenger HDVs,,,,
Transportation|Cargo distance transported|Passenger LDVs,,,,
Transportation|Cargo distance transported|Passenger motorbikes,,,,
Transportation|Cargo distance transported|Passenger rail,,,,
Transportation|Cargo distance transported|Passenger ships,,,,
Transportation|Emissions By Sub-Sector|Aviation,,,,
Transportation|Emissions By Sub-Sector|Rail,,,,
Transportation|Emissions By Sub-Sector|Road,,,,
Transportation|Emissions By Sub-Sector|Water,,,,
Transportation|Energy use by freight/passenger|freight,,,,
Transportation|Energy use by freight/passenger|passenger,,,,
Transportation|Energy use by freight|Aviation,,,,
Transportation|Energy use by freight|Rail,,,,
Transportation|Energy use by freight|Road,,,,
Transportation|Energy use by freight|Total,,,,
Transportation|Energy use by freight|Water,,,,
Transportation|Energy use by fuel|Biofuel Diesel,,,,
Transportation|Energy use by fuel|Biofuel Gasoline,,,,
Transportation|Energy use by fuel|Electricity,,,,
Transportation|Energy use by fuel|Gases,,,,
Transportation|Energy use by fuel|Hydrogen,,,,
Transportation|Energy use by fuel|Jet Fuel,,,,
Transportation|Energy use by fuel|Liquids,,,,
Transportation|Energy use by fuel|Natural gas,,,,
Transportation|Energy use by fuel|Petroleum Diesel,,,,
Transportation|Energy use by fuel|Petroleum Gasoline,,,,
Transportation|Energy use by fuel|Solids,,,,
Transportation|Energy use by passenger|Aviation,,,,
Transportation|Energy use by passenger|Rail,,,,
Transportation|Energy use by passenger|Road,,,,
Transportation|Energy use by passenger|Total,,,,
Transportation|Energy use by passenger|Water,,,,
Transportation|Energy use by Sub-Sector|Aviation,,,,
Transportation|Energy use by Sub-Sector|Domestic Aviation,,,,
Transportation|Energy use by Sub-Sector|Domestic Water,,,,
Transportation|Energy use by Sub-Sector|International Aviation,,,,
Transportation|Energy use by Sub-Sector|International Water,,,,
Transportation|Energy use by Sub-Sector|Rail,,,,
Transportation|Energy use by Sub-Sector|Road,,,,
Transportation|Energy use by Sub-Sector|Water,,,,
Transportation|Number of freight HDVs|Battery electric vehicle,,,,
Transportation|Number of freight HDVs|Diesel engine vehicle,,,,
Transportation|Number of freight HDVs|Gasoline engine vehicle,,,,
Transportation|Number of freight HDVs|Natural gas vehicle,,,,
Transportation|Number of freight HDVs|Plug-in hybrid vehicle,,,,
Transportation|Number of passenger LDVs|Battery electric vehicle,,,,
Transportation|Number of passenger LDVs|Diesel engine vehicle,,,,
Transportation|Number of passenger LDVs|Gasoline engine vehicle,,,,
Transportation|Number of passenger LDVs|Natural gas vehicle,,,,
Transportation|Number of passenger LDVs|Plug-in hybrid vehicle,,,,
Transportation|Total emissions|BC,,,,
Transportation|Total emissions|CH4,,,,
Transportation|Total emissions|CO,,,,
Transportation|Total emissions|CO2,,,,
Transportation|Total emissions|F-gases,,,,
Transportation|Total emissions|N2O,,,,
Transportation|Total emissions|NOx,,,,
Transportation|Total emissions|OC,,,,
Transportation|Total emissions|PM10,,,,
Transportation|Total emissions|PM2.5,,,,
Transportation|Total emissions|SOx,,,,
Transportation|Total emissions|VOC,,,,
"Agriculture, Land Use and Forestry|Land Use Emissions|CO2",,,,
Emissions|Carbon Capture and Storage|CO2,,,,
